aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
4174017,梅燃,"1,691",93,274,0,2022-08-22,架空历史,,1,1,3275,亲手将她送去和亲，他悔不当初,6087918,119877,8.5,0,正剧,"宫廷侯爵,布衣生活,情有独钟,爽文",卿卿误我,2023-01-25,"350,015",言情,原创
4174017,梅燃,"3,254",85,469,0,2022-05-10,架空历史,,1,1,3188,她总分不清他们,6360368,141282,10.0,0,正剧,"宫廷侯爵,婚恋",相媚好,2022-08-04,"301,695",言情,原创
4776825,心怀锅包肉,"8,010",55,"1,331",0,2022-11-07,架空历史,,1,1,8717,狐狸伯爵怒撕男二剧本,7502187,43766,,0,轻松,"西方罗曼,甜文,西幻,萌宠",做绅士不如当绿茶[西幻],2023-02-16,"205,883",言情,原创
4776825,心怀锅包肉,"2,996",132,457,0,2022-05-16,架空历史,,1,1,2810,不就是氪金基建吗,6886109,38114,9.6,0,轻松,"奇幻魔幻,西幻,魔法幻情,基建",女巫又在氪金吗[西幻],2023-01-04,"501,076",言情,原创
4776825,心怀锅包肉,74,55,7,0,2022-05-20,,,1,0,12,原创诗歌合集。,6899077,239099,,0,未知,,闲章集,2022-09-12,"3,527",,
2201327,Cii,"18,417",59,"3,113",0,2022-12-24,近代现代,,1,1,16246,救什么救？接着奏乐，接着舞！,5163507,42397,,0,轻松,"英美衍生,重生,超级英雄,异想天开",[综英美]失忆反派如何自救,2023-02-16,"235,947",纯爱,衍生
2201327,Cii,"19,030",103,"1,577",0,2019-12-23,近代现代,,1,1,6198,伊曼纽尔停止了思考,4072479,65967,8.9,0,轻松,"英美衍生,都市情缘,西方罗曼,超级英雄",[综英美]自闭的伊曼纽尔,2022-04-09,"378,585",纯爱,衍生
2201327,Cii,"38,322",119,"8,389",0,2021-01-01,近代现代,,1,1,14833,让我寄生一下好不好？就一下,4472234,24435,9.0,0,轻松,"英美衍生,系统,未来架空,超级英雄",[综英美]才不是史莱姆！,2021-08-06,"459,266",言情,衍生
2201327,Cii,"51,478",166,"11,482",0,2021-10-26,近代现代,,1,1,34692,无敌的外神和祂的小号们,5437776,18849,8.9,0,轻松,"英美衍生,超级英雄,爽文,马甲文",[综英美]这个地球我罩了,2022-08-23,"618,254",无CP,衍生
2201327,Cii,"31,462",118,"5,187",0,2018-01-31,架空历史,,1,1,10933,专门和主角做对的男人,3477195,27653,8.6,0,轻松,"英美衍生,超级英雄",[综英美]画鬼,2019-04-17,"439,425",纯爱,衍生
