aid,author,genre,nid,rank,rank_date,tags,title,vip_date,wd_count,xx,yc
3155331,洛辞寒,衍生-无CP-近代现代-东方衍生,7141021,7,2023-02-07,"强强,三教九流,系统,柯南",如何帅气吃掉五人份便当,2023-02-04 00:00:00,8.7万,无CP,2
2721750,谢千钧,原创-纯爱-近代现代-爱情,4608419,8,2023-02-07,"种田文,异能,穿书,年代文",穿进年代文发现全家都是大佬,2023-02-04 00:00:01,8.93万,纯爱,1
3985004,君见月,衍生-纯爱-架空历史-古典衍生,6096968,7,2023-02-10,"强强,灵异神怪,甜文,古典名著",[西游]穿成如意金箍棒,2023-02-07 00:07:37,8.31万,纯爱,2
1833352,宋玖槿,原创-言情-近代现代-爱情,3832581,8,2023-02-10,"豪门世家,天之骄子,业界精英,甜文",明婚暗恋,2023-02-07 09:05:00,6.43万,言情,1
368809,夜蔓,原创-言情-近代现代-爱情,6023426,9,2023-02-10,"天之骄子,励志人生,甜文",岁晚,2023-02-07 09:30:54,6.68万,言情,1
855656,玖颜,原创-言情-近代现代-爱情,7388631,10,2023-02-10,"竞技,游戏网游,甜文,直播",只想带她上王者,2023-02-07 09:25:45,12.36万,言情,1
5378505,奶油炸糕,原创-言情-近代现代-爱情,7678410,11,2023-02-10,"婚恋,励志人生,年代文",七零家属院大美人,2023-02-07 17:12:24,8.84万,言情,1
4553323,橙子冰茶,原创-纯爱-幻想未来-爱情,7057503,12,2023-02-10,"豪门世家,因缘邂逅,星际,穿书",修罗场边缘的炮灰只想求生,2023-02-07 04:01:03,11.64万,纯爱,1
4805367,快乐的鸭鸭,原创-言情-古色古香-爱情,7241928,13,2023-02-10,"清穿,重生",康熙的商户妻(清穿),2023-02-07 04:00:59,12.48万,言情,1
2706599,楚缘君,原创-纯爱-幻想未来-爱情,4617173,1,2023-02-02,"幻想空间,情有独钟,系统,快穿",被404系统绑定后（快穿）,2023-01-30 21:33:44,8.65万,纯爱,1
4838990,柒阁,衍生-言情-架空历史-轻小说,7704664,5,2023-02-09,"幻想空间,甜文,成长,大冒险",[原神]在提瓦特当恶女的那些年,2023-02-06 23:59:09,8.26万,言情,2
4418425,浮生假面,原创-纯爱-近代现代-爱情,7412060,6,2023-02-09,"豪门世家,娱乐圈,婚恋,甜文",作精美人和大佬隐婚后爆火了,2023-02-06 21:42:37,8.34万,纯爱,1
